order_id,date,region,category,product,quantity,unit_price,discount_pct,revenue,salesperson
ORD10000,2024-12-22,Central,Electronics,Laptop,8,9168.72,0.0,73349.72,Elaine Edwards
ORD10001,2023-07-17,Central,Electronics,Smartwatch,1,2633.45,5.0,2501.78,David Frye
ORD10002,2024-04-26,North,Electronics,Smartwatch,8,2953.3,10.0,21263.78,Mark Anderson
ORD10003,2024-06-04,North,Clothing,Shoes,5,1188.06,10.0,5346.26,Emily Walsh
ORD10004,2024-06-24,West,Sports,Cricket Bat,20,742.56,0.0,14851.11,Kenneth Wright
ORD10005,2023-07-28,East,Groceries,Rice,18,92.86,20.0,1337.15,Julia Shaw
ORD10006,2023-12-03,South,Groceries,Oil,2,156.21,10.0,281.18,Joseph Thompson
ORD10007,2024-05-07,East,Electronics,Headphones,12,1796.69,10.0,19404.29,Benjamin Johnson
ORD10008,2023-11-15,West,Electronics,Smartwatch,18,3205.15,5.0,54807.99,Anthony Chapman
ORD10009,2024-04-26,East,Furniture,Shelf,2,1836.51,0.0,3673.02,James Adams
ORD10010,2023-02-07,West,Sports,Yoga Mat,19,444.05,10.0,7593.28,Christopher Davis
ORD10011,2024-03-18,East,Sports,Dumbbells,5,923.06,20.0,3692.26,Susan Trujillo
ORD10012,2024-10-17,West,Groceries,Sugar,12,54.03,5.0,615.96,Richard Wilson
ORD10013,2023-02-20,North,Electronics,Laptop,6,10875.15,15.0,55463.27,Tammy Johnson
ORD10014,2024-10-28,North,Sports,Dumbbells,17,924.5,20.0,12573.18,Brady Lee
ORD10015,2024-05-15,North,Electronics,Smartwatch,4,2813.21,5.0,10690.21,Joshua Huber
ORD10016,2023-03-20,South,Furniture,Shelf,10,2203.9,20.0,17631.19,Wanda Ferguson
ORD10017,2023-03-04,East,Clothing,Jacket,20,1419.92,0.0,28398.46,Angelica Newton
ORD10018,2023-01-24,West,Furniture,Table,19,4535.21,0.0,86168.9,Renee Sullivan MD
ORD10019,2023-03-09,Central,Electronics,Smartwatch,16,3401.03,5.0,51695.65,Seth Jones
ORD10020,2023-04-15,Central,Groceries,Sugar,10,57.21,10.0,514.91,Isabella Wallace
ORD10021,2023-04-18,South,Sports,Cricket Bat,3,760.19,20.0,1824.45,Alicia Diaz
ORD10022,2023-01-28,East,Groceries,Oil,2,136.88,0.0,273.77,Christopher Espinoza
ORD10023,2024-04-24,Central,Electronics,Smartwatch,16,2741.9,5.0,41676.86,Cynthia Rose
ORD10024,2024-04-22,West,Groceries,Sugar,14,53.52,0.0,749.28,Michael Kirk
ORD10025,2024-07-02,West,Furniture,Bed Frame,2,9467.03,0.0,18934.06,Michael Jackson
ORD10026,2023-04-14,South,Furniture,Chair,7,2526.2,5.0,16799.25,Elizabeth Potter
ORD10027,2023-04-04,North,Furniture,Bed Frame,15,9830.57,20.0,117966.81,Caitlin Walker
ORD10028,2023-02-07,West,Groceries,Rice,6,96.22,15.0,490.72,Christopher Roberts
ORD10029,2023-07-10,West,Electronics,Phone,13,6506.0,15.0,71891.27,Kimberly Jones
ORD10030,2023-03-19,Central,Groceries,Sugar,10,54.0,0.0,540.03,Ashley Cooper
ORD10031,2023-01-06,North,Electronics,Tablet,19,4964.19,20.0,75455.68,Curtis Lozano
ORD10032,2023-03-13,North,Groceries,Rice,20,86.17,5.0,1637.2,Melissa Cobb
ORD10033,2023-10-19,Central,Groceries,Oil,20,130.31,20.0,2085.03,Kenneth Melton
ORD10034,2024-04-22,East,Furniture,Sofa,8,12084.97,5.0,91845.75,Megan Smith
ORD10035,2023-02-04,North,Sports,Yoga Mat,15,413.5,20.0,4962.03,Allison Taylor
ORD10036,2024-09-08,East,Groceries,Oil,5,168.37,0.0,841.83,Patrick Lee
ORD10037,2024-08-01,Central,Furniture,Table,20,4579.48,20.0,73271.66,Carrie Peters
ORD10038,2024-03-05,East,Furniture,Chair,4,2791.17,20.0,8931.74,Tanya Hill
ORD10039,2024-04-17,West,Furniture,Shelf,7,2111.44,10.0,13302.08,Ruben Stanley
